Altium Designer Pick and Place Locations
G:\My Drive\Harpia\PROJECTS\P1\Electrical Documents\Drawings\PCL_P1\Project Outputs for PCL_P1\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       27/11/23
Time:       19:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"NTC1","NTC 10D-20","TopLayer","NTC10D-20","91.3325","85.5800","90","10O 6A Plugin,P=10mm NTC Thermistors ROHS"
"U1","TAS25-5-W","TopLayer","TAS25-5-W","27.0500","39.8983","90","5V 85VAC~265VAC 5A 100V~370V 25W 86% Plugin,48x70mm Power Modules ROHS"
"FB1","FB0805","TopLayer","FB_0805","70.7500","71.0500","270","Ferrite Bead SMD 0805"
"R10","0R","TopLayer","RES_0603","76.8500","45.6250","180","Resistor SMD 0603"
"U11","SRA-05VDC-CL","TopLayer","SRA-05VDC-CL","153.6700","39.2938","0","5V 10A 20A@14VAC SPDT (1 Form C) 5 Plugin,12.4x16mm Power Relays ROHS"
"U10","SRA-05VDC-CL","TopLayer","SRA-05VDC-CL","153.6700","24.0538","0","5V 10A 20A@14VAC SPDT (1 Form C) 5 Plugin,12.4x16mm Power Relays ROHS"
"U9","SRA-05VDC-CL","TopLayer","SRA-05VDC-CL","153.6700","55.9562","0","5V 10A 20A@14VAC SPDT (1 Form C) 5 Plugin,12.4x16mm Power Relays ROHS"
"U7","SRA-05VDC-CL","TopLayer","SRA-05VDC-CL","153.6700","72.3138","0","5V 10A 20A@14VAC SPDT (1 Form C) 5 Plugin,12.4x16mm Power Relays ROHS"
"U6","SRA-05VDC-CL","TopLayer","SRA-05VDC-CL","152.8528","87.9831","0","5V 10A 20A@14VAC SPDT (1 Form C) 5 Plugin,12.4x16mm Power Relays ROHS"
"P9","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","175.0000","72.2757","90","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P12","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","175.0000","40.4495","90","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P11","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","175.0000","24.3459","90","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P8","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","175.0000","88.5063","90","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P10","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","175.0000","56.8579","90","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"X1","24MHz","TopLayer","XTAL_2520","77.0250","42.8750","90","Crystal SMD 2520"
"TP31","Pad","TopLayer","PAD_SQ_2MM","81.5000","62.6000","90","Test Point Square 2mm"
"R19","10K","TopLayer","RES_0603","108.3216","39.5224","0","Resistor SMD 0603"
"R18","10K","TopLayer","RES_0603","108.3216","41.9100","0","Resistor SMD 0603"
"R17","10K","TopLayer","RES_0603","108.3216","44.0436","0","Resistor SMD 0603"
"R16","10K","TopLayer","RES_0603","108.3216","46.1518","0","Resistor SMD 0603"
"R15","10K","TopLayer","RES_0603","108.3216","48.4632","0","Resistor SMD 0603"
"R14","4.7K","TopLayer","RES_0603","77.7250","39.5500","270","Resistor SMD 0603"
"R13","4.7K","TopLayer","RES_0603","77.5000","35.5000","270","Resistor SMD 0603"
"R12","10K","TopLayer","RES_0603","66.8500","48.6750","180","Resistor SMD 0603"
"R11","10K","TopLayer","RES_0603","85.5250","42.0500","0","Resistor SMD 0603"
"C22","100nF","TopLayer","CAP_0603","81.6250","43.5000","180","Capacitor SMD 0603 16V"
"C21","10pF","TopLayer","CAP_0402","74.7000","43.1500","90","Capacitor SMD 0402 16V"
"C20","10pF","TopLayer","CAP_0402","79.0770","42.3623","270","Capacitor SMD 0402 16V"
"P7","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","79.6970","6.4222","0","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"P6","WJ500V-5.08-2P","TopLayer","WJ500V-5.08-2P","66.0130","6.4222","0","1x2P 18A -40?~+105? 250V Green 14~30 Straight 5.08mm 2.5 1 2 Plugin,P=5.08mm Screw terminal ROHS"
"TP30","Pad","TopLayer","PAD_SQ_2MM","92.6500","57.4750","90","Test Point Square 2mm"
"TP29","Pad","TopLayer","PAD_SQ_2MM","112.1102","50.4194","90","Test Point Square 2mm"
"C1","MPX105K31DLKN15800","TopLayer","FP-R71PI31004030K-MFG","46.1750","86.7000","270","1uF ±10% X2 Plugin,P=15mm Suppression Capacitors ROHS"
"C2","4.7uF","TopLayer","CAP_1206","75.5396","72.6948","0","Capacitor SMD 1206 50V"
"C3","4.7uF","TopLayer","CAP_1206","75.6158","68.7832","180","Capacitor SMD 1206 25V"
"C4","100nF","TopLayer","CAP_0603","71.5250","41.6000","180","Capacitor SMD 0603 16V"
"C5","MPX105K31DLKN15800","TopLayer","FP-R71PI31004030K-MFG","83.2000","86.1750","270","1uF ±10% X2 Plugin,P=15mm Suppression Capacitors ROHS"
"C6","100nF","TopLayer","CAP_0603","84.8000","49.4750","90","Capacitor SMD 0603 16V"
"C7","100nF","TopLayer","CAP_0603","91.9000","47.9250","90","Capacitor SMD 0603 16V"
"C8","100nF","TopLayer","CAP_0603","73.7000","45.6500","180","Capacitor SMD 0603 16V"
"C9","100nF","TopLayer","CAP_0603","69.6500","36.2000","180","Capacitor SMD 0603 16V"
"C10","100nF","TopLayer","CAP_0603","75.8475","63.8336","0","Capacitor SMD 0603 16V"
"C11","100nF","TopLayer","CAP_0603","71.1250","60.1500","0","Capacitor SMD 0603 16V"
"C12","100nF","TopLayer","CAP_0603","69.8000","48.0500","90","Capacitor SMD 0603 16V"
"C13","100nF","TopLayer","CAP_0603","80.7000","45.4500","180","Capacitor SMD 0603 16V"
"C14","100nF","TopLayer","CAP_0603","84.9730","57.9222","270","Capacitor SMD 0603 16V"
"C15","100nF","TopLayer","CAP_0603","68.2000","44.2250","270","Capacitor SMD 0603 16V"
"D1","SMCJ6.0CA-AT/TR7","TopLayer","ONSC-SURMETIC40-2-017AA-01","100.5750","87.7000","90","on
10.3V 6.67V 6V SMC(DO-214AB) TVS ROHS"
"L1","PDMCAT221413-103MLB","TopLayer","PDMCAT221413-103MLB","64.5750","86.2000","0","10mH@1kHz 55mO 2 Plugin,28x18.5mm Common Mode Filters ROHS"
